"Video Explanation","FFF-Video","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Type","Muscle Group","ID","Created Date","Updated Date","Owner"
,,"Kettlebell Arm Bar","Lie on your back with a kettlebell in one hand, pressing it straight up over your shoulder with a locked-out elbow. Bend the same-side knee, keeping your foot flat on the floor while your opposite leg remains straight. Rotate your torso and hips by rolling onto your side, keeping your eyes on the kettlebell at all times. Hold the position for a moment, maintaining shoulder stability and core engagement, then return to the starting position with control.","8 (4 each side)","2","8kg","60s","[""Mobility""]","[""Shoulders"",""Core"",""Upper Back""]","009ca646-cc90-463d-a788-319ed1cf55f7",2025-01-23T19:19:46Z,2025-02-05T05:45:36Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Incline Bench Side Lying Lat Raises - DB","Lie on your side on an incline bench, holding a dumbbell in your top hand. Lift the weight out to the side, keeping a slight bend in your elbow. Lower under control and repeat.","12","3","40% 1RM","60s","[""Hypertrophy / Isolation""]","[""Shoulders"",""Upper Back""]","01882470-0807-40c3-b6c0-dcc028798570",2025-02-05T11:35:55Z,2025-02-19T00:08:08Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Towel Curls","Hold a towel or resistance band under your foot, gripping both ends with your hands. Perform a bicep curl against the resistance, keeping your elbows tucked. Lower under control and repeat.","12","3","Light Resistance","60s","[""Hypertrophy / Isolation""]","[""Biceps""]","018949da-e4f7-4785-8c2e-cf1394e0820b",2025-02-05T11:35:39Z,2025-02-19T00:57:32Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Standing Long Jump","Stand with feet shoulder-width apart. Swing your arms back while bending your knees slightly, then explosively jump forward, maximising horizontal distance. Land softly on both feet and measure the jump.","1","3","'-","Full","[""Testing""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","01b4f402-3a1c-4e06-b8ef-ec8c51f43283",2025-01-22T13:46:10Z,2025-02-05T07:18:16Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Dumbbell Bent Over Flys","Start with your feet shoulder-width apart, a slight bend in your knees and a forward lean with a straight back. Hold each dumbbell to your chest so that the end plates face toward the ground and the ceiling. Hold your elbows in to your sides and roll your shoulder blades back. Bring each dumbbell up
towards your shoulders in a circular butterfly motion while keeping each elbow firmly to your side. Lower back to the start position for the next rep.","4","3","24kg (2x12kg)","90s","[""Hypertrophy/Isolation"",""Max Strength""]","[""Rear Delts"",""Upper Back""]","01d55f21-e970-431c-8f4c-9c8deae1aaef",2025-02-05T09:34:44Z,2025-03-04T00:09:16Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Crossover to Accelaration","Start with a crossover step, transitioning into an explosive sprint. Focus on a strong lateral push-off, ensuring a quick transition into acceleration. Keep your body low and drive forward aggressively.","5 x 10m","3","Bodyweight","60s","[""Acceleration"",""Change of Direction""]","[""Glutes"",""Quadriceps"",""Hip Flexors""]","01eed5d1-7384-40b1-830c-d4698fa25d48",2025-02-05T11:44:15Z,2025-03-21T19:49:56Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Low Back Smash","Lie on your back with a foam roller or lacrosse ball positioned under your lower back just above the pelvis. Slowly shift your weight side to side, applying pressure to any tight areas. If using a lacrosse ball, target one side at a time by leaning slightly into the pressure and holding for a few seconds before moving to the next spot. Keep your breathing controlled and avoid excessive arching of the back.",,,"'-","45s","[""Mobility""]","[""Lower Back""]","023d225c-f880-427a-b3dd-abeb6f3f6977",2025-01-23T20:56:18Z,2025-02-05T08:43:09Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"T-Pine Smash","Lie on your back with a foam roller positioned across your upper back (thoracic spine). Support your head with your hands or cross your arms over your chest. Engage your core and slowly extend your upper back over the roller, pausing at any tight spots. Use small, controlled movements to mobilise the thoracic spine, avoiding excessive movement through the lower back. To increase intensity, lift your hips slightly or perform the movement with arms overhead to target restrictions in shoulder mobility.",,,"'-","45s","[""Mobility""]","[""Thoracic Spine"",""Upper Back""]","02456ac2-a243-477d-bea3-ecee73f46538",2025-01-23T20:58:21Z,2025-02-05T08:43:02Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Narrow Pull-Ups","Hang from a pullup bar with a narrow grip (one hand’s space between each hand), facing away from your body. Pull
yourself upwards so that your chin reaches level with the bar, then slowly lower yourself down again. Keep your feet
off the ground at all times during sets.","A.M.A.P.","3","10kg","90s","[""Max Strength""]","[""Lats"",""Upper Back"",""Biceps"",""Core""]","0324ae9c-9aef-466f-8d43-887a0f803390",2025-02-05T09:25:38Z,2025-02-11T04:23:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Viking Split Squat Press","Stand in a split stance with one foot forward and the other foot behind, holding the Viking press handle in front of your chest with both hands. Begin by lowering into a split squat, bending both knees until your back knee is just above the floor while keeping your chest upright. As you press through your front heel to return to the standing position, simultaneously press the Viking handle upwards and slightly forward, fully extending your arms. Bring the handle back to your chest as you lower into the next split squat. Ensure you maintain balance and stability throughout the movement by engaging your core.","8 (4 each side)","3","30kg","90s","[""Max Power"",""Strength-Speed""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core"",""Shoulders""]","033d60bd-1e62-4688-8356-57b21577532a",2025-02-03T21:56:54Z,2025-02-05T07:15:36Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
